config_id,arch_config,arch_path,workload_name,work_config,work_path,event_path,metric_path,run_path,checkpoint_path
10,5,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_5.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_5/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_5/config_0/checkpoint.json
11,5,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_5.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_5/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_5/config_1/checkpoint.json
12,6,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_6.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_6/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_6/config_0/checkpoint.json
13,6,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_6.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_6/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_6/config_1/checkpoint.json
14,7,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_7.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_7/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_7/config_0/checkpoint.json
15,7,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_7.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_7/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_7/config_1/checkpoint.json
16,8,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_8.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_8/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_8/config_0/checkpoint.json
17,8,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_8.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_8/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_8/config_1/checkpoint.json
18,9,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_9.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_9/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_9/config_0/checkpoint.json
19,9,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_9.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_9/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_9/config_1/checkpoint.json
20,10,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_10.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_10/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_10/config_0/checkpoint.json
21,10,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_10.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_10/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_10/config_1/checkpoint.json
22,11,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_11.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_11/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_11/config_0/checkpoint.json
23,11,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_11.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_11/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_11/config_1/checkpoint.json
24,12,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_12.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_12/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_12/config_0/checkpoint.json
25,12,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_12.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_12/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_12/config_1/checkpoint.json
26,13,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_13.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_13/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_13/config_0/checkpoint.json
27,13,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_13.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_13/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_13/config_1/checkpoint.json
28,14,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_14.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_14/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_14/config_0/checkpoint.json
29,14,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_14.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_14/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_14/config_1/checkpoint.json
30,15,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_15.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_15/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_15/config_0/checkpoint.json
31,15,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_15.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_15/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_15/config_1/checkpoint.json
32,16,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_16.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_16/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_16/config_0/checkpoint.json
33,16,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_16.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_16/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_16/config_1/checkpoint.json
34,17,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_17.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_17/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_17/config_0/checkpoint.json
35,17,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_17.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_17/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_17/config_1/checkpoint.json
36,18,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_18.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_18/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_18/config_0/checkpoint.json
37,18,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_18.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_18/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_18/config_1/checkpoint.json
38,19,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_19.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_19/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_19/config_0/checkpoint.json
39,19,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_19.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_19/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_19/config_1/checkpoint.json
40,20,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_20.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_20/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_20/config_0/checkpoint.json
41,20,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_20.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_20/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_20/config_1/checkpoint.json
42,21,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_21.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_21/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_21/config_0/checkpoint.json
43,21,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_21.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_21/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_21/config_1/checkpoint.json
44,22,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_22.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_22/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_22/config_0/checkpoint.json
45,22,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_22.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_22/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_22/config_1/checkpoint.json
46,23,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_23.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_23/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_23/config_0/checkpoint.json
47,23,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_23.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_23/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_23/config_1/checkpoint.json
48,24,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_24.architecture.yaml,llama_3_8b,0,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_8b/config_0.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_24/config_0,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_8b/arch_24/config_0/checkpoint.json
49,24,/home/gensis2/research/archx/chiplet4ai/llama/description/architecture/config_24.architecture.yaml,llama_3_70b,1,/home/gensis2/research/archx/chiplet4ai/llama/description/workload/llama_3_70b/config_1.workload.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/event/event.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/metric/metric.yaml,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_24/config_1,/home/gensis2/research/archx/chiplet4ai/llama/description/runs/llama_3_70b/arch_24/config_1/checkpoint.json
